tweet,sentiment,sentiment_score,annotator,annotator_score,directness,directness_score,group,group_score,target,target_score
والوسسخ وسخ ولو غسلتو بموية زمزم…,normal,5,shock,1,indirect,0,individual,0,other,0
@user ياحيف عليكي يامصر يحكمك هكذا خنزير هذلت,offensive,2,disgust,0,direct,1,other,1,origin,1
خنزير متعصب... سياسية تسب ترامب على الهواء (فيديو) - @url @url,offensive,2,disgust,0,direct,1,individual,0,other,0
لاجيت أعاتبك طيّحت الحطب كلّه,abusive,0,indifference,6,indirect,0,individual,0,other,0
محسون خفيف يحب الحريم الحلوات #cukurheryerde,offensive,2,indifference,6,direct,1,women,2,other,0
في اهم من بول البعير @user,disrespectful,3,indifference,6,indirect,0,other,1,origin,1
ممكن اعرف انا مين اللى بيقود المؤامرة على ماسر يا خنازير,disrespectful,3,disgust,0,indirect,0,other,1,other,0
@user ههههه افلسوا خنازير الجزيرة حولوا ع حرب اليمن .. ما اقبحكم,offensive,2,indifference,6,indirect,0,individual,0,other,0
عن احسن الحريم وافضلهم قال :,normal,5,indifference,6,indirect,0,women,2,gender,2
ترا المعد الاتجاه المعاكس اللي يجي في قناة الجزيره الخنزيره تراه يهودي خنزير حقود قلبه اسود علي العرب احذروه ولا تح… @url,hateful,1,indifference,6,direct,1,individual,0,other,0
سياسية جمهورية تسب ترامب على الهواء وتصفه بـ “خنزير متعصب” (فيديو) @url @url,offensive,2,indifference,6,indirect,0,individual,0,other,0
@user @user @user @user @user هات انت إحصائية أن مصر التحرش بها مثل شرب الماء.!! ..… @url,normal,5,indifference,6,indirect,0,women,2,origin,1
اه يا عشوائي يا وسخ,offensive,2,shock,1,direct,1,individual,0,origin,1
من تاونات..تدوينة تثير النقاش داخل مواقع التواصل حول قانون التحرش الجديد @url,normal,5,indifference,6,indirect,0,other,1,other,0
@user وربنا بيولول زى الحريم,disrespectful,3,indifference,6,indirect,0,individual,0,gender,2
يريد قانون لأنه ما يقدر يمسك نفسه إذا شاف متبرجه !,normal,5,shock,1,indirect,0,other,1,other,0
@user @user قدمو أو لم يقدموا هم فقط ناس بشر حالهم مثل حالك بس الاختلاف مايشربون بول البعير أو يأكلون زواحف الصحراء,disrespectful,3,indifference,6,indirect,0,other,1,origin,1
@user @user  نور قوليلها انها بايرة عشان إللى بتعملوا فينا ده كتير اوى والله,fearful,4,disgust,0,direct,1,individual,0,gender,2
@user @user @user @user اولا هم ليسوا جرب الا ان كنت فارسي,offensive,2,disgust,0,indirect,0,other,1,origin,1
يوم وسخ,disrespectful,3,indifference,6,indirect,0,other,1,other,0
@user @user اردوغان يعلم انه من تلاميذ المدرسة الخمينية المجوسية   ولكن متى يستيقظ خنازير العرب الاخونج… @url,hateful,1,disgust,0,indirect,0,individual,0,religion,3
ي شيختن ' فيك الحياَ والحشمهْ غير الحريم تغاَر حتىٰ عببباتك ..,normal,5,confusion,5,indirect,0,women,2,gender,2
فجاءَت خنازير ٌ..ذئابٌ تحفُّها,offensive,2,indifference,6,indirect,0,other,1,other,0
@user @user على مقياس لا يفهمه الحريم,normal,5,indifference,6,indirect,0,women,2,other,0
@user @user @user @user تعالي اشربي بول البعير وحليب حمير مكس يمدحونه المجوس يقوي الذاكره، اكيد مجربتهم كلها,abusive,0,shock,1,direct,1,individual,0,origin,1
دا بالظبط السبب ان احصائيات التحرش والاغتصاب في البلاد العربيه اقل من بره @url,normal,5,fear,4,indirect,0,other,1,gender,2
اكمل عزيزي شارب بول البعير,abusive,0,disgust,0,direct,1,other,1,origin,1
@user @user الا يا متبرجه,disrespectful,3,shock,1,direct,1,women,2,gender,2
هندوس علي وش امك انتا واللي معاك يا ولاد الوسخه..,disrespectful,3,confusion,5,direct,1,other,1,other,0
ما الفائدة من صورة فتآة متبرجة كاشفة الوجه  عارية الساقين او  الذراعين تضعينها صورة صفحتك الشخصية,disrespectful,3,shock,1,direct,1,women,2,origin,1
يا الله شو انو احنا شعب وسخ و حقير.. @url,normal,5,anger,2,indirect,0,other,1,origin,1
ما أعظم موقفك عند الله يا متبرجة يا من خلعت النقاب وتبرجت وفتنت المسلمين,hateful,1,confusion,5,direct,1,women,2,gender,2
سعودي وزغ يخطف طفلتان يمنيتان من الشارع ويمارس معهما الرذيله ووزغ اخر يبرر فعلته وسلطات بول البعير تنفي الخبر . ذنب… @url,offensive,2,anger,2,indirect,0,individual,0,origin,1
@user @user ههههههههههه انا بسهوله اعصب ولساني وسخ لايغرك طيبي انا عصبيه,normal,5,confusion,5,indirect,0,individual,0,other,0
هذي تعتبر متبرجه ولا غير متبرجه؟,normal,5,indifference,6,indirect,0,women,2,other,0
الصابون، تاريخيا، أقدم منتج استخدمه الإنسان، تحديدا في العصر الحجري .. ومع ذلك لاا زال الإنسان وسخ .…,disrespectful,3,shock,1,indirect,0,other,1,other,0
أنت تروّج لشخصيات منحرفة بداعي أنها أحسنت في جزئية ما!! وماذا عن بقية سيرت… @url,normal,5,indifference,6,direct,1,individual,0,other,0
يعني فهمتها بمصطلحك ايها البعير يبدوا ان شرب… @user,hateful,1,shock,1,indirect,0,individual,0,origin,1
نظام انا بايره ياختي @url,offensive,2,shock,1,indirect,0,women,2,gender,2
هيتشول وليتوك خنازير,disrespectful,3,disgust,0,direct,1,individual,0,other,0
زي كل مذبحة يطلع أشباه بشر برؤوس خنازير تصقف لقتل أبرياء لا حول لهم و لا قوة و يشمتوا في دمهم,fearful,4,indifference,6,indirect,0,other,1,other,0
@user يا حقير هيدا العهد يلي انت بدك يلي انت عّم تبوس راص عون يا واطي يا خنزير,hateful,1,shock,1,indirect,0,individual,0,origin,1
فيلم سوري عن جيل لم يعرف إلا العنف,abusive,0,indifference,6,indirect,0,other,1,other,0
@user @user بدون شك بريئين منها. أنا ترى ما قلت سواقة حريم,disrespectful,3,sadness,3,direct,1,women,2,gender,2
تحريات خنزير. @url,disrespectful,3,indifference,6,indirect,0,individual,0,other,0
سبحان الله تدري اذا ذكر اسم الخنزير نذكر خنازير الضاحية وهم يتبركون بالغطس في الطين كالخنازير ..,offensive,2,shock,1,indirect,0,other,1,origin,1
