tweet,sentiment,sentiment_score,annotator,annotator_score,directness,directness_score,group,group_score,target,target_score
خنازير قذره @url,abusive,0,indifference,6,direct,1,other,1,other,0
@user @user انجس من خنزير انت وامك اكيد ما مخليه واحد من شرها شو اسمها تسيفي ما خلت زعيم عربي الا ما ن… @url,abusive,0,anger,2,direct,1,individual,0,other,0
@user @user @user حتى في الدول الغربية ينتشر التحرش وتبرج النساء مساهم كبير في ذلك,normal,5,disgust,0,direct,1,women,2,gender,2
@user @user طيب احنا البدو اصحاب البعير اللي نشرب بول البعير قولي انتو اَي إنجاز سويتو في حياتكم ول… @url,normal,5,shock,1,direct,1,other,1,origin,1
@user @user @user @user يوصي البهايم بشرب بول البعير والبقر ودمنهم كمان ماكفاهم غائط ال… @user,offensive,2,disgust,0,indirect,0,other,1,other,0
@user @user طلع صوتكم يا شاربي بول البعير، شفناكم باليمن سنين و مش قادرين الا عالاطفاال ....تهربون مثل ال… @user,hateful,1,shock,1,direct,1,other,1,origin,1
شبهتكوا بالخنزير علشان هو حلوف مابيحس,disrespectful,3,indifference,6,indirect,0,other,1,other,0
ليت يجي قرار يمنع الحريم من التغريد عن الرياضة.,normal,5,anger,2,indirect,0,women,2,gender,2
@user @user عالم شيعي يوصي بشرب بول البعير @url,normal,5,indifference,6,indirect,0,other,1,religion,3
@user كلامهم غير منطقي بالبت..مثل موافقة بعضهم بشرب بول البعير..طيب كيف الواحد يسمع لناس ما تراجع في تفكير امور كثيرة وترفض المراجعة,disrespectful,3,indifference,6,indirect,0,other,1,origin,1
هو ممكن أقول عليه ده صفة عامة/ملحوظة ،و مش ع التحرش ب عينه ،ممكن نشملها ب ما ينافي الاعراف سوا كان امر صغير جدا ل… @url,normal,5,indifference,6,indirect,0,women,2,other,0
@user @user لعنة الله على من رباك ايه الخبيث خنازير مجمعين في قناة خنزيره رد يبيدكم,hateful,1,indifference,6,direct,1,individual,0,other,0
-والله كانت متبرجه يا شيخ,offensive,2,sadness,3,indirect,0,women,2,other,0
@user لاتكثرو من شرب بول البعير,hateful,1,anger,2,direct,1,other,1,other,0
@user كيف لشارب بول البعير أن يحلل ويفهم. . جميع الحدود اليمنية تحت سيطرة التحالف ويجيك واحد غمش ويقول ع… @url,hateful,1,indifference,6,indirect,0,individual,0,origin,1
@user @user @user @user ولا غيرك البهيمة يا شارب بول البعير..,abusive,0,anger,2,direct,1,individual,0,other,0
@user @user عزيزي اللبناني تعرف اذا شفنا مكان وسخ نقول عليه زبالة كأنه لبنان !,hateful,1,disgust,0,direct,1,other,1,origin,1
الفتيات يعاقبن چوردى الصغير المنحرف على التحرش بهن,normal,5,indifference,6,direct,1,women,2,other,0
بول البعير افقدكم الرجوله والنخوه والشهامه والغيره @url,disrespectful,3,indifference,6,indirect,0,other,1,other,0
من ملانه ولا زهقانه تعي ندردش سوالف منحرفة,offensive,2,indifference,6,direct,1,individual,0,other,0
@user يا متبرجه جوالك ابشرك من علامات الساعه الصغرى بابقره ياحماره يا ق ح ب,offensive,2,indifference,6,direct,1,individual,0,other,0
